Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Sigrid,Jakobsson,Idrottsstigen 70,Luleå,14805,Sverige,SE,19731005-3927,+46,064-93 43 59,1973-10-05,True
Katie,Lopez,Cheryl Mills 707,Lynnfurt,64883,Danmark,DK,19921210-3693,+45,8186445587,1992-12-10,True
Birgit,Johansson,Parkstigen 0,Gävle,88500,Sverige,SE,19600511-9737,+46,069-520 33 63,1960-05-11,True
Inger,Falk,Industrigatan 74,Örnsköldsvik,75046,Sverige,SE,19960731-3770,+46,0440-09 58 17,1996-07-31,True
Alexandra,Miller,Jeremy Islands 5562,New Michaelhaven,46664,Danmark,DK,19510724-4836,+45,001-970-990-7828,1951-07-24,True
Gunnel,Ågren,Stationsgatan 4,Mölndal,67319,Sverige,SE,19840525-2116,+46,+46 (0)675 296 07,1984-05-25,True
Markus,Näslund,Kyrkogränd 2,Västerås,24855,Sverige,SE,19891218-7982,+46,+46 (0)8 031 970 62,1989-12-18,True
Joel,Mårtensson,Parkstigen 014,Falun,91297,Sverige,SE,19460702-8798,+46,+46 (0)798 181 38,1946-07-02,True
Margit,Gustafsson,Parkvägen 95,Karlstad,93080,Sverige,SE,19801001-5275,+46,035-95 08 95,1980-10-01,True
Steven,Norris,Heather Village 3821,Amandashire,94750,Danmark,DK,19410308-3351,+45,+1-943-264-7796x223,1941-03-08,True
Hans,Nilsson,Skolvägen 846,Borlänge,48727,Sverige,SE,19900715-8024,+46,08-428 79 54,1990-07-15,True
Rut,Andersson,Kvarngatan 41,Skövde,53121,Sverige,SE,19920605-7824,+46,+46 (0)275 709 34,1992-06-05,True
Lauri,Rossi,Ida Ekmanin tie 777,Kankaanpää,69787,Finland,FI,19600507-298S,+358,+358484428032,1960-05-07,True
Paula,Sillanpää,Yllästunturintie 4,Alavus,22634,Finland,FI,19880215-743S,+358,+358 03 5441353,1988-02-15,True
Christer,Jonsson,Backtorget 6,Piteå,34787,Sverige,SE,19961123-8470,+46,0964-57 05 37,1996-11-23,True
Ebba,Bergman,Bäckvägen 813,Motala,47118,Sverige,SE,19550303-4410,+46,+46 (0)13 15 18 60,1955-03-03,True
Robert,Rasmussen,Engenspranget 517,Geirvær,9929,Norge,NO,19671203-6901,+47,91174977,1967-12-03,True
Viola,Nilsson,Nyvägen 446,Uppsala,10483,Sverige,SE,19720215-8117,+46,056-05 58 38,1972-02-15,True
Dwayne,Allen,Gross Meadow 3317,New Anthony,31159,Danmark,DK,19790329-9629,+45,001-695-214-3978x5201,1979-03-29,True
Hanna,Salminen,Gunnel Nymanin bulevardi 8,Kemiönsaari,50767,Finland,FI,19931015-271S,+358,+358 335483571,1993-10-15,True
Birger,Jansson,Villavägen 0,Stockholm,53787,Sverige,SE,19730919-3065,+46,+46 (0)186 833 48,1973-09-19,True
Juhani,Olsson,Ängstorget 202,Piteå,88107,Sverige,SE,19601018-6523,+46,+46 (0)56 56 19 10,1960-10-18,True
Anne,Hjalmarsson,Fabriksvägen 81,Örebro,39036,Sverige,SE,19750513-8301,+46,+46 (0)554 867 90,1975-05-13,True
Helena,Börjesson,Kyrkstigen 13,Gävle,15753,Sverige,SE,19430622-5711,+46,0959-83 79 91,1943-06-22,True
Sarah,Mason,Matthew Avenue 088,Carterburgh,37159,Danmark,DK,20000908-8017,+45,(346)438-5415,2000-09-08,True
Elise,Isaksen,Thomassensvingen 3,Johnnes,6180,Norge,NO,19580927-8678,+47,49814663,1958-09-27,True
Maria,Olsson,Bäckgatan 22,Östersund,68386,Sverige,SE,19480819-8086,+46,08-10 71 22,1948-08-19,True
Pamela,Miller,Brent Ways 07712,East Dustinborough,23605,Danmark,DK,19870212-0950,+45,(266)343-9156,1987-02-12,True
Ingrid,Klasson,Ängstorget 93,Lidingö,27622,Sverige,SE,19450422-7850,+46,037-27 89 20,1945-04-22,True
Karl,Eriksson,Asptorget 74,Linköping,80288,Sverige,SE,19791222-9171,+46,0488-483 86,1979-12-22,True
Christer,Olofsson,Kyrkogränd 8,Örebro,78396,Sverige,SE,19650325-4345,+46,040-54 31 62,1965-03-25,True
Jan,Eriksson,Järnvägsvägen 88,Linköping,70793,Sverige,SE,19900724-3042,+46,08-078 76 39,1990-07-24,True
Elisabeth,Johansson,Åkervägen 47,Kristianstad,31939,Sverige,SE,19900908-4591,+46,+46 (0)06 73 40 38,1990-09-08,True
Anita,Magnusson,Idrottstorget 940,Landskrona,92218,Sverige,SE,19460707-5718,+46,+46 (0)8 842 916 40,1946-07-07,True
Christer,Rosén,Nystigen 631,Uppsala,41618,Sverige,SE,19400118-7987,+46,08-446 99 48,1940-01-18,True
Victor,Atkins,Erin Isle 43057,Rosebury,68725,Danmark,DK,19740223-8216,+45,468.875.2139x1813,1974-02-23,True
Sandra,Woods,Maria Dam 23512,Lake Amy,28168,Danmark,DK,19490912-0218,+45,433-401-4638x534,1949-09-12,True
Karin,Eriksson,Bäcktorget 361,Kristianstad,75820,Sverige,SE,19810912-6707,+46,+46 (0)94 93 41 31,1981-09-12,True
Maria,Gustafsson,Idrottstorget 71,Malmö,55949,Sverige,SE,19810524-0756,+46,0413-64 06 67,1981-05-24,True
Benjamin,Cruz,Charles Overpass 05820,Wendyview,80129,Danmark,DK,19681004-9604,+45,001-400-879-2159x4923,1968-10-04,True
Göran,Franzén,Villagränd 350,Norrköping,36852,Sverige,SE,19750419-8336,+46,+46 (0)02 42 08 60,1975-04-19,True
Heli,Korhonen,Uunilinnunbulevardi 4,Hamina,00077,Finland,FI,19880429-856P,+358,066 251 7240,1988-04-29,True
Espen,Jakobsen,Tveitgjerdet 7,Nygård,1083,Norge,NO,19881114-4145,+47,46239127,1988-11-14,True
Linnéa,Holm,Bäcktorget 91,Norrköping,57442,Finland,SE,19450214-5750,+46,083-429 51 91,1945-02-14,True
Torill,Thorsen,Andresenmyra 56,Nielsen,6787,Norge,NO,19650711-4155,+47,42348484,1965-07-11,True
Javier,Lee,Amy Vista 8313,Jasmineburgh,81816,Danmark,DK,19571016-6316,+45,289.225.8948,1957-10-16,True
Eva,Hagen,Bergemyra 39B,Kristofferøy,7265,Norge,NO,19731218-4036,+47,+4791022382,1973-12-18,True
Michael,Roberts,Richmond Loop 5682,South Donald,27509,Danmark,DK,19550502-3627,+45,+1-536-237-7283x230,1955-05-02,True
Roland,Karlsson,Parkvägen 8,Kristianstad,46840,Sverige,SE,19660617-2707,+46,08-882 645 34,1966-06-17,True
Abigail,Arias,Mendoza Meadow 2794,Heatherstad,24247,Danmark,DK,19431004-9013,+45,001-678-741-9866,1943-10-04,True
Jani,Vartiainen,Jyväbulevardi 92,Salla,86795,Finland,FI,20001227-089V,+358,+358 83 6167075,2000-12-27,True
Thea,Pedersen,Dahllyngen 2E,Ingridsand,7473,Norge,NO,19830609-8063,+47,91916321,1983-06-09,True
Matthew,Smith,Bobby Forks 53967,Port Robert,19594,Danmark,DK,19890416-2664,+45,001-804-315-8515x040,1989-04-16,True
Irene,Myklebust,Jacobsenjordet 7,Simenfoss,2033,Norge,NO,19800912-1907,+47,+4733158987,1980-09-12,True
Torsten,Larsson,Järnvägsvägen 98,Motala,71781,Sverige,SE,19650607-0192,+46,011-93 46 81,1965-06-07,True
Maria,Olofsson,Villagatan 21,Helsingborg,43813,Sverige,SE,19760730-3464,+46,088-64 85 57,1976-07-30,True
Linda,Andersson,Åkerstigen 187,Norrköping,79773,Sverige,SE,19401019-1055,+46,+46 (0)85 17 68 52,1940-10-19,True
Leif,Berg,Ekgatan 676,Gävle,70796,Sverige,SE,19730426-3567,46,006-62 45 55,1973-04-26,True
Allison,Allen,Paul Viaduct 04111,Hansenberg,66865,Danmark,DK,19810813-0591,+45,001-245-592-9738x19012,1981-08-13,True
Bengt,Persson,Skolgatan 526,Växjö,35767,Sverige,SE,19770413-2574,+46,+46 (0)8 058 750 95,1977-04-13,True
Ingrid,Bengtsson,Ringgatan 5,Borlänge,40073,Sverige,SE,19921001-8463,+46,08-229 07 79,1992-10-01,True
Lene,Mathisen,Liegropa 26,Haug,8752,Norge,NO,19400825-7968,+47,90051509,1940-08-25,True
Lene,Hauge,Næssroa 94,Håkonstrand,2955,Norge,NO,19530918-6123,+47,96925547,1953-09-18,True
Marina,Eriksson,Åkerstigen 7,Södertälje,84196,Sverige,SE,19730922-1678,+46,08-119 862 86,1973-09-22,True
Hans,Johansson,Furugatan 09,Luleå,96354,Sverige,SE,19980402-5647,+46,08-98 70 73,1998-04-02,True
Karl,Englund,Kvarnstigen 20,Lidköping,16618,Sverige,SE,19440614-2730,+46,0816-79 35 10,1944-06-14,True
Stian,Henriksen,Tveitstykket 932,Henriksen,7513,Norge,NO,19690521-1119,+47,49995190,1969-05-21,True
Jens,Solberg,Hellandhavna 6,Myklebust,8417,Norge,NO,19720222-6774,+47,+4788222298,1972-02-22,True
Lilian,Gustafsson,Idrottsgränd 020,Mölndal,18208,Sverige,SE,19871222-4283,+46,08-60 11 30,1987-12-22,True
Tommy,Carlsson,Bäckgatan 8,Nyköping,55888,Sverige,SE,19820430-2401,+46,08-931 839 55,1982-04-30,True
Sven,Möller,Skolgatan 21,Kalmar,43226,Sverige,SE,19630114-9487,+46,08-822 251 09,1963-01-14,False
Harriet,Borg,Asptorget 1,Kristianstad,62820,Sverige,SE,19661022-4019,+46,08-06 86 62,1966-10-22,True
Kendra,Jenkins,Johnson Canyon 8406,Lake Ethanfort,84710,Finland,DK,19490530-3421,+45,+1-282-316-1677x201,1949-05-30,True
Marianne,Nilsson,Parkgränd 107,Skövde,62286,Sverige,SE,19601021-5696,+46,08-18 22 06,1960-10-21,True
Anette,Larsson,Parkgatan 52,Trollhättan,65518,Sverige,SE,19520630-4756,+46,+46 (0)99 10 35 17,1952-06-30,True
Kent,Andersson,Skolgatan 326,Stockholm,59833,Sverige,SE,19481121-8390,+46,086-94 36 51,1948-11-21,True
Jan,Andersson,Aspgatan 79,Uppsala,17126,Sverige,SE,19960319-2336,+46,+46 (0)295 316 05,1996-03-19,True
Breanna,Grimes,Levy Isle 65164,Lake Robert,75772,Danmark,DK,19410329-6799,+45,540-584-2117,1941-03-29,True
Elin,Andersen,Næssroa 58C,Kimodden,5079,Norge,NO,19880221-7261,+47,93529805,1988-02-21,True
Åsa,Bergström,Stationsvägen 3,Trollhättan,77902,Sverige,SE,19730219-0673,+46,010-99 11 71,1973-02-19,True
Margareta,Karlsson,Skolgränd 4,Norrköping,85674,Sverige,SE,19410614-4667,+46,+46 (0)877 824 36,1941-06-14,True
Alexander,Thomassen,Berntsenbråten 04A,Moen,1204,Norge,NO,19720909-2544,+47,901 25 676,1972-09-09,True
Britt,Jørgensen,Johannessenbakken 6,Kårefjell,9059,Norge,NO,19840413-1571,+47,+47 24 24 05 05,1984-04-13,True
Jennie,Eriksson,Genstigen 217,Kalmar,38311,Sverige,SE,19961208-5513,+46,+46 (0)83 23 51 62,1996-12-08,True
Markus,Jørgensen,Christensenplassen 70B,Hanssen,2747,Norge,NO,19970223-5108,+47,+47 17 09 25 54,1997-02-23,True
Wesley,Simon,Sara Terrace 63620,South Darlene,70234,Danmark,DK,19530209-7094,+45,+1-390-472-8271x1739,1953-02-09,True
Andrew,Price,Espinoza Pike 905,Thorntonberg,63310,Danmark,DK,19780709-5203,+45,+1-429-201-1009x7102,1978-07-09,True
Emma,Nguyen,Simonsenmyra 6,Ruthnes,3319,Norge,NO,19930306-9940,+47,+4763768014,1993-03-06,True
Elisabet,Forsberg,Nygatan 104,Mölndal,99602,Sverige,SE,19750620-8419,+46,08-774 02 00,1975-06-20,True
Ingrid,Andersson,Fabriksstigen 94,Sundsvall,20167,Sverige,SE,19671017-9115,+46,08-748 23 94,1967-10-17,True
Mona,Aas,Strandløkka 62F,Sandvik,3702,Norge,NO,19471030-9855,+47,97499095,1947-10-30,True
Håkon,Bakke,Larsenmyra 4B,Bakken,0080,Norge,NO,19440323-6606,+47,76 98 58 95,1944-03-23,True
Herbert,Svensson,Industritorget 16,Lidköping,76973,Sverige,SE,19951123-8478,+46,08-903 20 26,1995-11-23,True
Ola,Gulbrandsen,Aasenbakken 02C,Torilleid,8164,Norge,NO,19891012-4510,+47,+47 51 96 12 21,1989-10-12,True
Rebecca,Löfgren,Stortorget 33,Borås,71405,Sverige,SE,19480914-4074,+46,08-36 64 65,1948-09-14,True
Jacob,Andersson,Skolgränd 4,Trollhättan,51360,Sverige,SE,19790807-1685,+46,0472-04 02 26,1979-08-07,True
Erik,Näslund,Storvägen 57,Falun,84936,Sverige,SE,19710212-0351,+46,08-969 215 45,1971-02-12,True
Jan,Engström,Ängsvägen 22,Trelleborg,53347,Sverige,SE,19900827-1833,+46,+46 (0)70 12 57 43,1990-08-27,True
Sofie,Strøm,Gulbrandsenengen 5,Lien,1557,Norge,NO,19940224-8788,+47,02 42 69 97,1994-02-24,True
Aaron,Scott,Adams Forest 9007,Port David,67922,Danmark,DK,19470516-6361,+45,(303)524-0839x978,1947-05-16,True
Anna-Lena,Björk,Ektorget 147,Örebro,28021,Danmark,SE,19740108-1108,+46,067-837 16 20,1974-01-08,True
Karen,Sørensen,Aasenstranda 34,Jakobsen,2489,Norge,NO,19930325-2900,+47,83097696,1993-03-25,True
Bente,Jenssen,Myhrelyngen 20,Ruud,3820,Norge,NO,19600421-6780,+47,45145952,1960-04-21,True
Charlotte,Viklund,Kvarnvägen 376,Skövde,32966,Sverige,SE,19941216-5835,+46,079-315 73 83,1994-12-16,True
Jon,Sæther,Holmgropa 45,Øysteinby,2247,Norge,NO,19790111-5140,+47,33 24 04 61,1979-01-11,True
Jessica,Clay,Powers Trace 223,Danielside,84434,Danmark,DK,19650227-4803,+45,001-618-936-2752x5092,1965-02-27,True
Amanda,Larsson,Nygatan 1,Södertälje,98853,Sverige,SE,19470709-2773,+46,+46 (0)8 294 008 89,1947-07-09,True
Ingrid,Jakobsson,Ekstigen 272,Sundsvall,48328,Sverige,SE,19760430-3931,+46,08-827 493 94,1976-04-30,True
Maria,Ruiz,Noble Forks 979,Jaytown,16182,Danmark,DK,19710402-6159,+45,477.420.4611x4957,1971-04-02,True
Doris,Berglund,Parktorget 41,Karlskoga,22267,Sverige,SE,19960912-3256,+46,08-697 79 62,1996-09-12,True
Pontus,Andersson,Nygatan 229,Borås,68451,Sverige,SE,19440711-3063,+46,+46 (0)8 885 677 67,1944-07-11,True
Finn,Sørensen,Simonsenbakken 1B,Johansen,9524,Norge,NO,19640828-8321,+47,48977999,1964-08-28,True
Elsa,Andersson,Björkgränd 508,Gävle,42024,Sverige,SE,19611229-7312,+46,+46 (0)8 926 719 06,1961-12-29,True
Ingrid,Haug,Jacobsenkroken 8,Myklebust,7104,Norge,NO,19490509-2831,+47,43538445,1949-05-09,True
Julie,Berge,Sætherholtet 80,Ingriddal,2033,Norge,NO,19981207-7686,+47,45959058,1998-12-07,True
Magdalena,Johansson,Kyrkogatan 8,Falun,80234,Sverige,SE,19620704-0148,+46,061-96 15 76,1962-07-04,True
Dana,Neal,Best Views 8419,North Nathanfort,15991,Danmark,DK,19720127-8909,+45,(558)733-7350x51094,1972-01-27,True
Lisa,Taylor,Martin Plaza 854,Travisbury,87452,Danmark,DK,19480613-5620,+45,(375)806-9854x38074,1948-06-13,True
Richard,Wheeler,Brown Village 553,South Daniel,12215,Danmark,DK,19500709-6929,+45,916.912.2374x434,1950-07-09,True
Svea,Persson,Kyrkovägen 3,Borås,99719,Sverige,SE,19791021-7800,+46,0846-582 31,1979-10-21,True
Britt,Nilsen,Myklebustgrenda 2,Haugen,7375,Norge,NO,19891014-1713,+47,56 52 92 28,1989-10-14,True
Josefin,Palm,Kvarngatan 7,Linköping,17367,Sverige,SE,19630629-5409,+46,+46 (0)8 843 856 87,1963-06-29,True
Tanya,Morrison,Michael Port 388,Richardborough,04860,Danmark,DK,19450926-9898,+45,330-947-0710,1945-09-26,True
Margareta,Persson,Järnvägsstigen 10,Karlskrona,36269,Sverige,SE,19720822-7118,+46,+46 (0)8 594 970 46,1972-08-22,True
Pär,Persson,Storvägen 210,Malmö,28047,Sverige,SE,19580918-6279,+46,000-786 99 14,1958-09-18,True
Margareta,Lindberg,Bäcktorget 173,Motala,97277,Sverige,SE,19530308-2410,+46,+46 (0)193 861 07,1953-03-08,True
Kjersti,Bakke,Berntsenåsen 27,Holm,5542,Norge,NO,19520705-3498,+47,47648132,1952-07-05,True
Cameron,Foley,Moran Unions 9943,Port Kariborough,17144,Danmark,DK,19530329-8006,+45,001-575-505-0415x175,1953-03-29,True
Aino,Tolvanen,Taavetti Laitisen polku 91,Urjala,35289,Finland,FI,19671106-7035,+358,0152696662,1967-11-06,True
Kristian,Karlsson,Aspstigen 4,Västerås,53557,Sverige,SE,19511018-6620,+46,+46 (0)8 140 084 20,1951-10-18,True
Laila,Christensen,Strømspranget 2,Kristiansen,5747,Norge,NO,19490902-4474,+47,+47 39 00 51 37,1949-09-02,True
Stig,Lindell,Idrottsgränd 333,Landskrona,44312,Sverige,SE,19850318-1517,+46,0307-33 32 16,1985-03-18,True
Britt,Svensson,Skolgatan 9,Karlstad,23922,Sverige,SE,19490525-4083,+46,0945-68 21 06,1949-05-25,True
Oskari,Mononen,Haravakatu 1,Humppila,54023,Finland,FI,19670419-384M,+358,+358310032521,1967-04-19,True
Ulla,Johansson,Genstigen 289,Sundsvall,69140,Sverige,SE,19901230-0028,+46,0333-804 49,1990-12-30,True
Ulla,Boström,Skolvägen 70,Eskilstuna,74094,Sverige,SE,19460609-1965,+46,0006-53 86 95,1946-06-09,True
Åke,Gustavsson,Kyrktorget 8,Landskrona,11947,Sverige,SE,19821003-2463,+46,0372-611 89,1982-10-03,True
Malin,Andersson,Strandstigen 4,Nyköping,68018,Sverige,SE,19580324-8708,+46,08-591 879 36,1958-03-24,True
Gert,Olsson,Villavägen 4,Norrköping,58703,Sverige,SE,19920928-8393,+46,+46 (0)351 722 74,1992-09-28,True
Hanne,Svendsen,Haugvika 47B,Haugland,3342,Norge,NO,19400731-2908,+47,63127443,1940-07-31,True
Veronica,Eriksson,Bäckgränd 575,Karlstad,22613,Sverige,SE,19540630-0372,+46,08-791 33 35,1954-06-30,True
Martin,Nilsson,Järnvägsgatan 48,Malmö,65088,Sverige,SE,19460822-3738,+46,0216-78 78 09,1946-08-22,True
Erik,Persson,Skolvägen 95,Trollhättan,48783,Sverige,SE,19520511-7568,+46,001-40 56 35,1952-05-11,True
Marie,Ström,Villavägen 40,Linköping,56806,Sverige,SE,19490115-6590,+46,+46 (0)46 98 03 09,1949-01-15,True
Linnéa,Moberg,Kyrkgatan 310,Nyköping,71278,Sverige,SE,19760421-3159,+46,074-905 72 81,1976-04-21,True
Jeffrey,Bray,Ray Gardens 703,Susanside,78883,Danmark,DK,19440518-6120,+45,519.428.4775x5860,1944-05-18,True
Fredrik,Petersson,Villavägen 84,Södertälje,80462,Sverige,SE,19600605-8694,+46,08-55 32 29,1960-06-05,True
Kerstin,Sandström,Trädgårdsvägen 780,Växjö,98058,Sverige,SE,19620502-2849,+46,+46 (0)14 51 18 28,1962-05-02,True
Kristoffer,Ruud,Johannessenvollen 3,Hagen,5757,Norge,NO,19790208-6558,+47,486 26 315,1979-02-08,True
Rita,Rasmussen,Larsengropa 520,Ellingsen,0161,Norge,NO,19681231-4198,+47,431 22 331,1968-12-31,True
Britt-Marie,Göransson,Trädgårdstorget 07,Motala,91904,Sverige,SE,19830112-6191,+46,0110-10 52 35,1983-01-12,True
Ingrid,Karlsson,Kyrkgatan 8,Piteå,42678,Sverige,SE,19790814-9647,+46,+46 (0)8 419 627 59,1979-08-14,True
Einar,Amundsen,Hansenjordet 6,Astridgrunn,3480,Norge,NO,19511228-9597,+47,95 60 98 31,1951-12-28,True
Cathrine,Gundersen,Larsenhavna 5,Mathisen,1186,Norge,NO,19430424-2088,+47,926 71 620,1943-04-24,True
David,Thomas,Jacqueline Course 170,Michaelville,29314,Danmark,DK,19400325-9134,+45,459-764-9387,1940-03-25,True
Hanna,Myklebust,Isaksentunet 8,Berntsen,2375,Norge,NO,19811227-8930,+47,424 89 889,1981-12-27,True
Torbjörn,Andersson,Järnvägsvägen 8,Kristianstad,47454,Sverige,SE,19480805-3661,+46,+46 (0)58 20 66 42,1948-08-05,True
Maria,Eriksson,Kyrkstigen 432,Linköping,84673,Sverige,SE,19440722-4780,+46,0791-35 10 33,1944-07-22,True
Karl,Olsson,Industristigen 3,Varberg,97107,Sverige,SE,20000621-8278,+46,08-819 199 74,2000-06-21,True
Marianne,Berge,Aunespranget 71,Aas,1951,Norge,NO,19470629-6348,+47,22440045,1947-06-29,True
Roy,Nguyen,Lundehavna 6D,Solberg,1389,Norge,NO,19410803-5163,+47,54 28 03 77,1941-08-03,True
Elisabet,Johansson,Industrivägen 34,Skövde,25330,Sverige,SE,19940214-7714,+46,+46 (0)881 226 61,1994-02-14,True
Lena,Hermansson,Järnvägsvägen 01,Växjö,88154,Sverige,SE,19701218-2880,+46,+46 (0)34 25 35 24,1970-12-18,True
Vickie,Kennedy,Rachel Shoal 19810,Allisonbury,36587,Danmark,DK,20001209-0749,+45,+1-305-783-7871x68386,2000-12-09,True
Ingela,Nilsson,Parkvägen 690,Karlskoga,52229,Sverige,SE,19700627-6988,+46,0485-397 44,1970-06-27,True
Diana,Miller,Rogers Dale 88011,Bobbyfort,59799,Danmark,DK,19751208-7075,+45,947.373.8900x294,1975-12-08,True
Stine,Olsen,Hellandhaugen 44,Kristofferås,9726,Norge,NO,19720422-7014,+358,96845998,1972-04-22,True
Håkon,Myhre,Thorsenstranda 7,Markusfjell,0431,Norge,NO,19891101-9279,+47,936 85 950,1989-11-01,True
Helge,Johansson,Kvarnvägen 43,Stockholm,60019,Sverige,SE,19421212-8749,+46,095-739 68 77,1942-12-12,True
Anders,Lundberg,Skolvägen 4,Helsingborg,53158,Sverige,SE,19740302-4311,+46,08-982 015 28,1974-03-02,True
Tobias,Karlsson,Industristigen 45,Borås,46960,Sverige,SE,19500905-9013,+46,097-19 54 93,1950-09-05,True
Joakim,Vikström,Idrottsstigen 4,Karlstad,90510,Sverige,SE,19580208-4851,+46,0882-65 51 48,1958-02-08,True
Per,Karlsson,Björkvägen 8,Sandviken,41489,Sverige,SE,19561102-7551,+46,08-169 80 64,1956-11-02,True
Kerstin,Andersson,Kyrkvägen 20,Eskilstuna,52838,Sverige,SE,19640413-2495,+46,08-029 070 34,1964-04-13,True
Anna,Vuorinen,Kuhankeittäjänbulevardi 2,Pukkila,24646,Finland,FI,19410531-396W,+358,(+358) 704059472,1941-05-31,True
Bradley,Byrd,Garrett Field 2835,Matthewshire,78119,Danmark,DK,19640114-9708,+45,219-840-9375x0404,1964-01-14,True
Sara,Olsson,Industrivägen 770,Kristianstad,53034,Sverige,SE,19491219-1228,+46,08-19 11 68,1949-12-19,True
